Move Data
move,Period,Group #,Player #,Player Role,User ID,Decision,Payoff,Decision Time,
move,1,2,1,first,308375,0,100,12623,
move,1,2,2,second,308374,ACCEPT,0,24357,
move,2,1,1,first,308375,10,90,16714,
move,2,1,2,second,308374,ACCEPT,10,24480,
move,3,1,1,first,308375,20,80,12226,
move,3,1,2,second,308374,ACCEPT,20,19636,
move,4,1,1,first,308375,100,0,6518,
move,4,1,2,second,308374,ACCEPT,100,8126,
move,5,1,1,first,308375,93,7,9970,
move,5,1,2,second,308374,ACCEPT,93,12557,

,
,
,
Metadata
type,ultimatum,
name,Ultimatum,
description,,
creator,MobLab,
editable,true,
tags,categories_Bargaining,Game Theory,Bargaining,Negotiations,Cooperation,Sequential Choice,Managerial Economics,Ultimatum,Altruism,Fairness,
allow_proxy_play,"false",
passive_roles,"",
show_timer,"true",
show_identity,"false",
play_with_robots,"false",
number_of_round,"1",
round_duration,"-1",
round_interval,"0",
turn_duration,"-1",
maximal,"2",
type,"ultimatum",
duration,"-1",
allow_chat,"false",
minimal,"2",
ending_probability,"100",
initial_total,"100",
shrinkage,"0",
desc,"You and another player are dividing a stack of coins.
The first player proposes a way to split the coins. The second player can either accept or reject the first player’s offer.
If the offer is rejected, then both players get nothing.",
id,39163904-ddd3-472e-aaa6-ddc2d213f5e6,
matching,random,
parent,ee709fc8-7b99-4ec6-bbc7-d21a3bde7da2,
start time,1574894314273,

,
,
,
