Move Data
move,Period,Group #,Player #,Player Role,User ID,Decision,Payoff,Decision Time,
move,1,1,1,first,307698,10,90,50487,
move,1,1,2,second,307699,ACCEPT,10,65513,
move,2,1,1,first,307698,10,0,4824,
move,2,1,2,second,307699,REJECT,0,16752,
move,3,1,1,first,307698,10,0,7829,
move,3,1,2,second,307699,REJECT,0,18893,
move,4,1,1,first,307698,20,0,5353,
move,4,1,2,second,307699,REJECT,0,10140,
move,5,1,1,first,307698,30,0,6361,
move,5,1,2,second,307699,REJECT,0,16767,

,
,
,
Metadata
type,ultimatum,
name,Ultimatum,
description,,
creator,MobLab,
editable,true,
tags,categories_Bargaining,Game Theory,Bargaining,Negotiations,Cooperation,Sequential Choice,Managerial Economics,Ultimatum,Altruism,Fairness,
allow_proxy_play,"false",
passive_roles,"",
show_timer,"true",
show_identity,"false",
play_with_robots,"false",
number_of_round,"1",
round_duration,"-1",
round_interval,"0",
turn_duration,"-1",
maximal,"2",
type,"ultimatum",
duration,"-1",
allow_chat,"false",
minimal,"2",
ending_probability,"100",
initial_total,"100",
shrinkage,"0",
desc,"You and another player are dividing a stack of coins.
The first player proposes a way to split the coins. The second player can either accept or reject the first player’s offer.
If the offer is rejected, then both players get nothing.",
id,ee709fc8-7b99-4ec6-bbc7-d21a3bde7da2,
matching,null,
parent,null,
start time,1574288202158,

,
,
,
