Move Data
move,Period,Group #,Player #,Player Role,User ID,Decision,Payoff,Decision Time,
move,1,1,1,first,307699,36,0,20298,
move,1,1,2,second,-51840101726742810,REJECT,0,21299,
move,1,2,1,first,307698,30,0,10251,
move,1,2,2,second,-707198154735530100,REJECT,0,11252,
move,2,1,1,first,307699,44,56,5924,
move,2,1,2,second,-51840101726742810,ACCEPT,44,6925,
move,2,2,1,first,307698,50,50,6017,
move,2,2,2,second,-707198154735530100,ACCEPT,50,7018,
move,3,1,1,first,307699,46,54,4959,
move,3,1,2,second,-51840101726742810,ACCEPT,46,5960,
move,3,2,1,first,307698,45,55,5078,
move,3,2,2,second,-707198154735530100,ACCEPT,45,6079,
move,4,1,1,first,307699,48,52,3749,
move,4,1,2,second,-51840101726742810,ACCEPT,48,4750,
move,4,2,1,first,307698,40,60,5380,
move,4,2,2,second,-707198154735530100,ACCEPT,40,6381,
move,5,1,1,first,307699,42,58,5004,
move,5,1,2,second,-51840101726742810,ACCEPT,42,6005,
move,5,2,1,first,307698,35,0,5510,
move,5,2,2,second,-707198154735530100,REJECT,0,6511,

,
,
,
Metadata
type,ultimatum,
name,Ultimatum,
description,,
creator,MobLab,
editable,true,
tags,categories_Bargaining,Game Theory,Bargaining,Negotiations,Cooperation,Sequential Choice,Managerial Economics,Ultimatum,Altruism,Fairness,
allow_proxy_play,"false",
passive_roles,"",
show_timer,"true",
show_identity,"false",
play_with_robots,"false",
number_of_round,"1",
round_duration,"-1",
round_interval,"0",
turn_duration,"-1",
maximal,"2",
type,"ultimatum",
duration,"-1",
allow_chat,"false",
minimal,"2",
ending_probability,"100",
initial_total,"100",
shrinkage,"0",
desc,"You and another player are dividing a stack of coins.
The first player proposes a way to split the coins. The second player can either accept or reject the first player’s offer.
If the offer is rejected, then both players get nothing.",
id,f19a55ed-36f4-4064-8dd8-0af4db38ed38,
matching,null,
parent,null,
start time,1574288459050,

,
,
,
