	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	pdt1	pdt1	pdt1	pdt1	pdt1	pdt1
						
dpdmove	-3,355	-4,014*	-1,485	-1,481	-2,249	-2,158
	(2,691)	(2,159)	(2,254)	(2,220)	(2,355)	(2,515)
tg		-6,331***	-6,767***	-6,685***	-7,635***	-7,743***
		(1,900)	(1,902)	(2,326)	(2,514)	(2,773)
nat				72.56	-17,515**	-17,261*
				(3,113)	(8,768)	(8,968)
tgNat				-152.5	1,178	1,057
				(3,929)	(3,916)	(4,638)
pdt2		1.396***	0.982*	0.982*	0.966*	0.977*
		(0.503)	(0.559)	(0.561)	(0.570)	(0.583)
age					-2,527	-2,280
					(1,990)	(2,436)
gender						-1,203
						(3,843)
edu					3,288	3,144
					(2,501)	(3,249)
tuk					-611.6	-596.4
					(439.5)	(439.5)
tus					204.1	182.5
					(365.3)	(357.5)
fampart						37.39
						(1,666)
famgt					2,192*	2,366
					(1,126)	(1,476)
prd2			-16,010***	-16,012***	-15,979***	-15,924***
			(5,573)	(5,604)	(5,664)	(5,682)
prd3			-16,012***	-16,013***	-16,016***	-15,947***
			(5,522)	(5,551)	(5,624)	(5,612)
prd4			-17,472***	-17,474***	-17,373***	-17,321***
			(5,829)	(5,857)	(5,987)	(5,981)
prd5			-16,602***	-16,603***	-16,517***	-16,455***
			(5,788)	(5,818)	(5,897)	(5,883)
Constant	11,843***	7,063***	21,576***	21,533***	71,038*	66,541
	(1,498)	(2,549)	(6,630)	(6,911)	(36,080)	(42,175)
						
Observations	200	200	200	200	200	200
R-squared	0.008	0.292	0.383	0.383	0.401	0.402
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
