	(1)	(2)	(3)	(4)	(5)
VARIABLES	pdcc1	pdcc1	pdcc1	pdcc1	pdcc1
					
tg	0.122*	0.0754	0.221**	0.153	0.216**
	(0.0656)	(0.0866)	(0.0824)	(0.119)	(0.0907)
nat		0.109	0.151	0.192	0.175
		(0.133)	(0.362)	(0.529)	(0.536)
tgNat		0.0998	0.0659	0.0531	0.0612
		(0.138)	(0.174)	(0.212)	(0.205)
pdcc2	0.332*	0.437**	0.394**	0.571**	0.382*
	(0.195)	(0.211)	(0.178)	(0.268)	(0.189)
age			-0.197**	-0.256**	-0.198**
			(0.0782)	(0.0985)	(0.0855)
gender			0.129	0.113	0.119
			(0.102)	(0.111)	(0.110)
edu			0.256**	0.383***	0.258**
			(0.103)	(0.130)	(0.110)
tuk			-0.0189	-0.0146	-0.0214
			(0.0121)	(0.0227)	(0.0178)
tus			-0.0234	-0.0283*	-0.0259
			(0.0166)	(0.0158)	(0.0197)
fampart			0.0523	0.0674	0.0631
			(0.0666)	(0.0653)	(0.0691)
famgt			-0.0197	-0.00263	-0.0312
			(0.0440)	(0.0407)	(0.0483)
isecon			-0.0892	-0.123	-0.0778
			(0.110)	(0.183)	(0.128)
isling			0.347*	0.463**	0.372
			(0.196)	(0.217)	(0.227)
isstem				0.0582	0.125
				(0.149)	(0.115)
isss				0.00628	0.0335
				(0.153)	(0.142)
ishum			-0.122	-0.0946	-0.0854
			(0.120)	(0.122)	(0.118)
dpdcomp			0.000996***		0.00106***
			(0.000350)		(0.000327)
Constant	0.645***	0.545***	4.027***	4.799***	4.032**
	(0.123)	(0.159)	(1.304)	(1.694)	(1.513)
					
Observations	40	40	40	40	40
R-squared	0.164	0.239	0.630	0.482	0.649
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
