	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	dugcc	dugcc	dugcc	dugcc	dugcc	dugcc
						
tg	0.0380	-0.0747	-0.0222	0.0366	-0.0572	0.0252
	(0.0954)	(0.117)	(0.0820)	(0.0859)	(0.157)	(0.0939)
nat		-0.111	-0.0662	-0.603	-0.393	-0.558
		(0.132)	(0.0766)	(0.458)	(0.859)	(0.561)
tgNat		0.207	-0.0767	-0.0825	0.109	-0.0619
		(0.198)	(0.170)	(0.146)	(0.239)	(0.189)
role		-0.0735	0.117	0.114	-0.0375	0.105
		(0.106)	(0.0827)	(0.0953)	(0.114)	(0.108)
age				-0.101	-0.185*	-0.0952
				(0.0796)	(0.107)	(0.0870)
gender				0.0862	0.00600	0.0913
				(0.0691)	(0.126)	(0.0962)
edu				0.114	0.225	0.104
				(0.103)	(0.161)	(0.124)
tuk					0.0293	0.00350
					(0.0288)	(0.0159)
tus				0.0261	0.0397	0.0264
				(0.0207)	(0.0301)	(0.0217)
fampart					-0.0442	0.00446
					(0.0595)	(0.0594)
famgt					0.0270	-0.00677
					(0.0423)	(0.0510)
isecon				-0.166	-0.255	-0.162
				(0.116)	(0.199)	(0.129)
isling					0.0278	-0.0765
					(0.145)	(0.173)
isstem				0.0758	0.172	0.0734
				(0.0769)	(0.125)	(0.0852)
isss				0.179**	0.286**	0.180*
				(0.0854)	(0.125)	(0.0950)
ishum				0.249**	0.226	0.256**
				(0.0972)	(0.148)	(0.119)
dugcomp			0.00260***	0.00229***		0.00230***
			(0.000391)	(0.000520)		(0.000579)
Constant	0.0430	0.145	-0.0117	1.528	2.555	1.390
	(0.0685)	(0.101)	(0.0653)	(1.326)	(1.692)	(1.446)
						
Observations	40	40	40	40	40	40
R-squared	0.004	0.045	0.547	0.694	0.422	0.696
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
