	(1)	(2)	(3)	(4)	(5)
VARIABLES	ugmv1	ugmv1	ugmv1	ugmv1	ugmv1
					
tg	4.317	4.279	1.655	-0.776	-2.286
	(3.273)	(3.282)	(2.736)	(3.124)	(4.201)
nat			-10.27***	-7.051	-3.875
			(3.528)	(5.440)	(45.60)
tgNat			1.588	-6.985	-4.290
			(6.998)	(5.860)	(7.101)
ugmv2	0.269*	0.276*	0.255	0.260*	0.290*
	(0.147)	(0.151)	(0.161)	(0.141)	(0.147)
age				-1.974	-3.440
				(1.656)	(4.592)
gender				-11.50***	-11.66**
				(3.395)	(4.436)
edu					1.921
					(5.577)
tuk					0.593
					(0.910)
tus					0.327
					(1.699)
fampart				-2.521	-2.521
				(2.378)	(2.746)
famgt				4.574***	4.255**
				(1.496)	(1.810)
prd2		-0.999	-0.950	-0.961	-1.032
		(4.787)	(4.277)	(4.314)	(4.306)
prd3		-0.747	-0.709	-0.718	-0.773
		(4.635)	(4.288)	(4.374)	(4.395)
prd4		4.104	4.081	4.086	4.119
		(5.126)	(4.943)	(4.729)	(4.811)
prd5		-1.212	-1.222	-1.220	-1.205
		(5.449)	(5.189)	(4.973)	(5.042)
Constant	29.82***	29.35***	36.04***	74.24**	88.43
	(5.480)	(6.574)	(6.954)	(32.47)	(69.64)
					
Observations	100	100	100	100	100
R-squared	0.090	0.104	0.186	0.294	0.298
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
