Move Data
move,Period,Group #,Player #,Player Role,User ID,Decision,Payoff,Decision Time,
move,1,1,1,first,307652,22,0,7347,
move,1,1,2,second,-2482286710115705000,REJECT,0,8348,
move,1,2,1,first,307651,50,50,6457,
move,1,2,2,second,-2524812130235680000,ACCEPT,50,7458,
move,2,1,1,first,307652,48,52,4258,
move,2,1,2,second,-2482286710115705000,ACCEPT,48,5260,
move,2,2,1,first,307651,50,50,6425,
move,2,2,2,second,-2524812130235680000,ACCEPT,50,7426,
move,3,1,1,first,307652,50,50,6775,
move,3,1,2,second,-2482286710115705000,ACCEPT,50,7776,
move,3,2,1,first,307651,50,50,5198,
move,3,2,2,second,-2524812130235680000,ACCEPT,50,6199,
move,4,1,1,first,307652,29,0,4312,
move,4,1,2,second,-2482286710115705000,REJECT,0,5314,
move,4,2,1,first,307651,50,50,5496,
move,4,2,2,second,-2524812130235680000,ACCEPT,50,6498,
move,5,1,1,first,307652,47,53,7469,
move,5,1,2,second,-2482286710115705000,ACCEPT,47,8470,
move,5,2,1,first,307651,50,50,7696,
move,5,2,2,second,-2524812130235680000,ACCEPT,50,8697,

,
,
,
Metadata
type,ultimatum,
name,Ultimatum,
description,,
creator,MobLab,
editable,true,
tags,categories_Bargaining,Game Theory,Bargaining,Negotiations,Cooperation,Sequential Choice,Managerial Economics,Ultimatum,Altruism,Fairness,
allow_proxy_play,"false",
passive_roles,"",
show_timer,"true",
show_identity,"false",
play_with_robots,"false",
number_of_round,"1",
round_duration,"-1",
round_interval,"0",
turn_duration,"-1",
maximal,"2",
type,"ultimatum",
duration,"-1",
allow_chat,"false",
minimal,"2",
ending_probability,"100",
initial_total,"100",
shrinkage,"0",
desc,"You and another player are dividing a stack of coins.
The first player proposes a way to split the coins. The second player can either accept or reject the first player’s offer.
If the offer is rejected, then both players get nothing.",
id,c2d87475-f991-4510-a3c9-c48e8ea42d2a,
matching,null,
parent,null,
start time,1574245516521,

,
,
,
