	(1)	(2)	(3)	(4)
VARIABLES	pdmv1	pdmv1	pdmv1	pdmv1
				
tg	0.129**	0.131***	0.104	0.114
	(0.0499)	(0.0491)	(0.0767)	(0.0808)
nat			0.0864	0.0764
			(0.0774)	(0.254)
tgNat			0.0654	0.111
			(0.101)	(0.113)
pdmv2	0.219***	0.182***	0.207***	0.221***
	(0.0453)	(0.0478)	(0.0524)	(0.0537)
age				-0.133**
				(0.0598)
gender				0.0597
				(0.0565)
edu				0.233***
				(0.0690)
tuk				-0.0103
				(0.0122)
tus				-0.0234***
				(0.00839)
fampart				0.0620
				(0.0393)
famgt				-0.00660
				(0.0301)
prd2		0.0728	0.0759	0.0776
		(0.0648)	(0.0652)	(0.0650)
prd3		-0.0340	-0.0284	-0.0253
		(0.0832)	(0.0841)	(0.0827)
prd4		0.00921	0.0174	0.0218
		(0.0774)	(0.0782)	(0.0773)
prd5		-0.134	-0.121	-0.115
		(0.0956)	(0.0934)	(0.0932)
Constant	0.684***	0.713***	0.648***	2.899***
	(0.0473)	(0.0723)	(0.0888)	(1.002)
				
Observations	200	200	200	200
R-squared	0.105	0.134	0.155	0.208
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
