	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	dpdt	dpdt	dpdt	dpdt	dpdt	dpdt
						
dpdmove	-4,154*	-3,680	-1,519	-1,515	-2,343	-2,191
	(2,343)	(2,344)	(2,564)	(2,524)	(2,569)	(2,745)
tg		-6,574***	-6,754***	-6,675***	-7,422***	-7,741***
		(2,076)	(2,026)	(2,320)	(2,658)	(2,778)
nat				69.50	-15,036**	-17,234*
				(3,132)	(6,672)	(9,037)
tgNat				-146.2	1,356	1,016
				(3,983)	(3,606)	(4,323)
age					-2,586	-2,216
					(1,845)	(2,172)
gender						-1,269
						(3,689)
edu					3,759*	3,085
					(2,222)	(2,877)
tuk					-616.2	-600.6
					(388.0)	(404.6)
tus						177.7
						(358.5)
fampart					510.9	10.97
					(1,035)	(1,629)
famgt					2,159**	2,384*
					(1,080)	(1,258)
prd2			-15,884***	-15,884***	-15,740***	-15,766***
			(5,492)	(5,515)	(5,437)	(5,480)
prd3			-15,866***	-15,867***	-15,742***	-15,765***
			(5,359)	(5,381)	(5,298)	(5,332)
prd4			-17,331***	-17,332***	-17,104***	-17,146***
			(5,657)	(5,674)	(5,626)	(5,678)
prd5			-16,444***	-16,445***	-16,217***	-16,259***
			(5,571)	(5,589)	(5,500)	(5,548)
Constant	6,752***	9,168***	21,373***	21,331***	70,463**	65,277*
	(1,434)	(1,900)	(5,318)	(5,084)	(32,317)	(36,812)
						
Observations	200	200	200	200	200	200
R-squared	0.016	0.052	0.196	0.196	0.220	0.221
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
