	(1)	(2)	(3)	(4)	(5)
VARIABLES	dugmv	dugmv	dugmv	dugmv	dugmv
					
tg	0.400	0.400	1	-7.304	-8.028
	(3.860)	(3.857)	(4.252)	(5.165)	(5.392)
nat			-6.360	-19.86	-8.424
			(5.233)	(35.36)	(41.61)
tgNat			-5.133	-2.762	-1.732
			(7.813)	(8.391)	(9.115)
age				-1.589	-4.255
				(1.747)	(5.582)
gender				-15.49***	-14.49**
				(5.696)	(6.419)
edu					3.955
					(7.527)
tuk				1.834**	2.175*
				(0.907)	(1.100)
tus				2.541**	2.103
				(1.260)	(1.529)
fampart				-5.245*	-4.533
				(2.649)	(2.954)
famgt				5.475**	4.889*
				(2.367)	(2.507)
prd2		-2.700	-2.700	-2.700	-2.700
		(6.168)	(5.812)	(5.572)	(5.611)
prd3		-2.050	-2.050	-2.050	-2.050
		(6.170)	(5.908)	(5.639)	(5.714)
prd4		4.900	4.900	4.900	4.900
		(6.301)	(6.244)	(5.791)	(5.833)
prd5		-0.850	-0.850	-0.850	-0.850
		(5.941)	(5.714)	(5.414)	(5.458)
Constant	5.250*	5.390	9.100*	13.04	51.03
	(2.669)	(4.126)	(4.831)	(35.35)	(84.51)
					
Observations	100	100	100	100	100
R-squared	0.000	0.019	0.068	0.231	0.233
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
