	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	ugt1	ugt1	ugt1	ugt1	ugt1	ugt1
						
dugcc	-11,176*	-11,527*	-11,915**	-12,339**	-13,345*	-14,242*
	(6,037)	(6,059)	(5,616)	(5,726)	(7,160)	(8,016)
tg		9,774**	9,315*	5,952	11,127*	10,757*
		(4,749)	(4,867)	(5,659)	(6,247)	(6,103)
nat				-2,743	-9,239*	-15,250
				(2,317)	(5,301)	(19,597)
tgNat				6,249	16,556*	17,674*
				(8,595)	(9,794)	(10,463)
ugt2		0.365**	0.0722	0.0560	0.0578	0.0554
		(0.167)	(0.209)	(0.217)	(0.235)	(0.240)
role1	5,452	5,094	5,338	4,976	4,247	4,064
	(3,879)	(3,765)	(3,708)	(3,092)	(3,297)	(3,373)
age					-10,917**	-11,272**
					(5,235)	(5,531)
gender					22,417***	22,319***
					(7,931)	(7,838)
edu					11,410**	11,129**
					(5,406)	(5,335)
tuk						215.5
						(660.7)
tus						590.7
						(922.4)
fampart					8,380***	8,104***
					(2,913)	(2,755)
famgt					-6,263**	-6,351**
					(2,494)	(2,585)
dpay					41.53	42.34
					(71.39)	(71.83)
prd2			-9,007**	-9,162**	-8,656**	-8,745**
			(4,468)	(4,479)	(4,319)	(4,338)
prd3			-7,694	-7,877	-7,438	-7,518
			(4,897)	(4,920)	(4,873)	(4,924)
prd4			-16,451***	-16,616***	-16,302***	-16,353***
			(3,280)	(3,329)	(3,868)	(3,902)
prd5			-7,631	-7,847	-7,427	-7,563
			(8,161)	(8,164)	(8,289)	(8,208)
Constant	18,225***	10,986***	22,056***	24,167***	199,743**	203,918**
	(2,871)	(3,208)	(5,800)	(5,830)	(86,042)	(89,503)
						
Observations	200	200	200	200	200	200
R-squared	0.044	0.079	0.109	0.112	0.207	0.209
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
